stop_id,stop_name,stop_lat,stop_lon,GEOID,NAMELSAD
101867,E GUN HILL RD/BARNES AV,40.876006,-73.86229499999999,36005,Bronx County
101868,E GUN HILL RD/BRONXWOOD AV,40.875384000000004,-73.86020699999999,36005,Bronx County
101869,E GUN HILL RD/PAULDING AV,40.874562,-73.85767299999999,36005,Bronx County
101870,E GUN HILL RD/LACONIA AV,40.873725,-73.855,36005,Bronx County
101871,E GUN HILL RD/HERING AV,40.873109,-73.853148,36005,Bronx County
101872,E GUN HILL RD/PEARSALL AV,40.872503,-73.851272,36005,Bronx County
101873,E GUN HILL RD/BURKE AV,40.871794,-73.849,36005,Bronx County
101874,E GUN HILL RD/YOUNG AV,40.871108,-73.847536,36005,Bronx County
101875,E GUN HILL RD/DEWITT PL,40.869944,-73.845334,36005,Bronx County
101876,E GUN HILL RD/EASTCHESTER RD,40.868531,-73.842619,36005,Bronx County
101877,E GUN HILL RD/ARNOW AV,40.867767,-73.841165,36005,Bronx County
102229,BAINBRIDGE AV/E MOSHOLU PY N,40.872945,-73.880558,36005,Bronx County
102230,BAINBRIDGE AV/E 204 ST,40.873597,-73.879307,36005,Bronx County
102968,E KINGSBRIDGE RD/GRAND CONCOURSE,40.866058,-73.89403100000001,36005,Bronx County
103042,VALENTINE AV/E 192 ST,40.863917,-73.894537,36005,Bronx County
103057,E MOSHOLU PY S/GRAND CONCOURSE,40.878707,-73.884969,36005,Bronx County
103063,BARTOW AV/CO-OP CITY BL,40.86929,-73.825691,36005,Bronx County
103081,ASCH LOOP/ALCOTT PL,40.871364,-73.830554,36005,Bronx County
103449,BEDFORD PK BL/PAUL AV,40.874415,-73.891441,36005,Bronx County
103537,BARTOW AV/REAR OF PATHMARK,40.868894,-73.823533,36005,Bronx County
103913,W MOSHOLU PKY S/JEROME AV,40.879128,-73.885581,36005,Bronx County
104002,BAINBRIDGE AV/E 210 ST,40.879413,-73.879003,36005,Bronx County
104007,E GUN HILL RD/WEBSTER AV,40.878411,-73.870745,36005,Bronx County
104089,E KINGSBRIDGE RD/E 192 ST,40.864013,-73.894256,36005,Bronx County
802008,BAINBRIDGE AV/E 206 ST,40.874886,-73.879429,36005,Bronx County
802166,ASCH LOOP/ADLER PL,40.870955,-73.828366,36005,Bronx County
101716,BAYCHESTER AV/ALDRICH ST,40.870653000000004,-73.832575,36005,Bronx County
101717,BAYCHESTER AV/DONIZETTI PL,40.876369,-73.833678,36005,Bronx County
101718,BAYCHESTER AV/DARROW PL,40.878523,-73.832844,36005,Bronx County
101719,DREISER LOOP/CO-OP CITY BL,40.87787,-73.829667,36005,Bronx County
101721,DREISER LOOP/DEBS PL,40.876987,-73.828071,36005,Bronx County
101722,DREISER LOOP/CO-OP CITY BL,40.87834,-73.828057,36005,Bronx County
101723,CO-OP CITY BL/CARVER LOOP #2,40.879403,-73.82494100000001,36005,Bronx County
101724,CO-OP CITY BL/BELLAMY LOOP N,40.873809,-73.824572,36005,Bronx County
101725,CO-OP CITY BL/BELLAMY LOOP S,40.871926,-73.82476199999999,36005,Bronx County
103674,DREISER LOOP/DEFOE PLACE,40.875988,-73.829737,36005,Bronx County
104294,BAYCHESTER AV/750 BAYCHESTER AV,40.879027,-73.832449,36005,Bronx County
902019,BAY PLAZA BL/IFO JC PENNEY,40.86475,-73.826986,36005,Bronx County
100056,SEDGWICK AV/DICKINSON AV,40.882915000000004,-73.887474,36005,Bronx County
100057,SEDGWICK AV/HILLMAN AV,40.882463,-73.891351,36005,Bronx County
100064,W 231 ST/BAILEY AV,40.878232000000004,-73.90276999999999,36005,Bronx County
100065,W 231 ST/BROADWAY,40.879253999999996,-73.9054,36005,Bronx County
100066,W 231 ST/KINGSBRIDGE AV,40.880047,-73.90687199999999,36005,Bronx County
100071,HENRY HUDSON PKY E/W 239 ST,40.889537,-73.908059,36005,Bronx County
100459,HENRY HUDSON PKY E/W 246 ST,40.893961,-73.90790799999999,36005,Bronx County
100460,HENRY HUDSON PKY E/W 250 ST,40.897735,-73.907574,36005,Bronx County
100461,HENRY HUDSON PKY E/W 252 ST,40.899288,-73.90665899999999,36005,Bronx County
100462,RIVERDALE AV/W 254 ST,40.901963,-73.90585899999999,36005,Bronx County
100463,RIVERDALE AV/W 256 ST,40.904309000000005,-73.904842,36005,Bronx County
100464,RIVERDALE AV/W 259 ST,40.907140000000005,-73.90390699999999,36005,Bronx County
100465,RIVERDALE AV/W 260 ST,40.908712,-73.903544,36005,Bronx County
100466,RIVERDALE AV/W 261 ST,40.910398,-73.90302700000001,36005,Bronx County
100606,RIVERDALE AV/W 263 ST,40.912377,-73.90253299999999,36005,Bronx County
100654,E GUN HILL RD/BAINBRIDGE AV,40.881347,-73.878833,36005,Bronx County
100655,E GUN HILL RD/DE KALB AV,40.882484999999996,-73.8807,36005,Bronx County
100657,JEROME AV/E 205 ST,40.876457,-73.88809599999999,36005,Bronx County
100675,KAPPOCK ST/JOHNSON AV,40.877565999999995,-73.917738,36005,Bronx County
100676,KAPPOCK ST/KNOLLS CRES,40.879473,-73.91664300000001,36005,Bronx County
100677,HENRY HUDSON PKY E/W 227 ST,40.88118,-73.91709300000001,36005,Bronx County
100678,HENRY HUDSON PKY E/W 232 ST,40.884434000000006,-73.914569,36005,Bronx County
100679,HENRY HUDSON PKY E/W 235 ST,40.886027,-73.91257,36005,Bronx County
100680,HENRY HUDSON PKY E/W 238 ST,40.888858,-73.90888299999999,36005,Bronx County
102996,W 231 ST/TIBBETT AV,40.881046000000005,-73.908774,36005,Bronx County
103614,E 206 ST/BAINBRIDGE AV,40.875008,-73.880139,36005,Bronx County
103615,VAN CORTLANDT AV E/ROCHAMBEAU AV,40.876619,-73.880291,36005,Bronx County
103618,E MOSHOLU PY N/VAN CORTLANDT AV E,40.876084000000006,-73.881447,36005,Bronx County
